,RXCUI,NAME
448,996561,memantine
449,996572,memantine
450,402014,omeprazole
451,198038,nitroglycerin
452,849431,naproxen
453,312938,sertraline
454,904589,sotalol
455,991061,dicyclomine
456,1100184,donepezil
457,861132,alfuzosin
458,308714,clotrimazole
459,311877,mupirocin
460,10180,sulfamethoxazole
461,1745091,lidocaine
462,318179,"ergoloid mesylates, USP"
463,387013,nebivolol
464,197511,ciprofloxacin
465,311679,metronidazole
466,197698,fluconazole
467,993545,bupropion
468,310169,estradiol
469,1797865,mometasone
470,197839,isosorbide dinitrate
471,998212,morphine
472,359969,povidone
473,317110,isosorbide
474,616749,ranolazine
475,1797907,fluticasone
476,310385,fluoxetine
477,855182,tolterodine
478,30236,morphine
479,1648755,nitrofurantoin
480,857560,trospium
481,639566,vitamin B6
482,41144,gadodiamide
483,1358610,methylprednisolone
484,979471,hydrochlorothiazide
485,310488,glipizide
486,861004,metformin
487,856373,trazodone
488,858810,enalapril
489,896766,labetalol
490,996634,memantine
491,996563,memantine
492,858817,enalapril
493,856962,acetaminophen
494,311296,levofloxacin
495,904458,pravastatin
496,197903,lovastatin
497,1292432,varicella-zoster virus vaccine live (Oka-Merck) strain
498,705824,zoledronic acid
499,608343,calcium carbonate
500,1421151,gadoterate meglumine
501,1482913,technetium Tc 99m sestamibi
502,640062,regadenoson
503,313581,venlafaxine
504,313565,valacyclovir
505,1490065,raloxifene
506,314072,latanoprost
507,1992303,timolol
508,2418,cholecalciferol
509,309289,ciclopirox
510,237420,calcium carbonate
511,6711,melatonin
512,1362,diphenhydramine
513,311372,loratadine
514,1241895,thiamine
515,311995,nitrofurantoin
516,1010671,lidocaine
517,1300205,"tetanus toxoid vaccine, inactivated"
518,310410,folic acid
519,198760,niacin
520,105686,vitamin B12
521,150921,thiamine
522,313323,thiamine
523,309112,cephalexin
524,646456,nystatin
525,242438,montelukast
526,809533,calcium carbonate
527,1246316,budesonide
528,203184,ketamine
529,313324,thiamine
530,237786,folic acid
531,895216,NF
532,995218,hydroxyzine
533,860654,epinastine
534,106336,ketoconazole
535,1421451,brinzolamide
536,310364,fluocinonide
537,1923432,dorzolamide
538,197904,lovastatin
539,904467,pravastatin
540,808744,venlafaxine
541,313586,venlafaxine
542,1588,biotin
543,318224,flaxseed extract
544,198057,oxazepam
545,866083,buspirone
546,602811,Lacticaseibacillus rhamnosus
547,351291,cyclosporine
548,197806,ibuprofen
549,313583,venlafaxine
550,6750,menthol
551,1049630,diphenhydramine
552,142002,hypromellose
553,1086784,vilazodone
554,1086789,vilazodone
555,197884,lisinopril
556,198427,lamotrigine
557,308136,amlodipine
558,884185,clonidine
559,259081,aspirin
560,966250,levothyroxine
561,4845,glucosamine
562,1734090,ropivacaine
563,886662,flecainide
564,314231,simvastatin
565,1374744,Lacticaseibacillus rhamnosus
566,309335,clindamycin
567,403920,daptomycin
568,428485,calcium carbonate
569,1358977,cranberry juice
570,403818,moxifloxacin
571,860103,ketorolac
572,1376336,prednisolone
573,1490666,beclomethasone
574,310346,finasteride
575,1300791,mirabegron
576,1009339,bimatoprost
577,283672,citalopram
578,896228,salmeterol
579,308739,bimatoprost
580,863669,tamsulosin
581,744846,raltegravir
582,900577,ritonavir
583,856834,amitriptyline
584,978006,loperamide
585,639888,tenofovir disoproxil
586,312941,sertraline
587,1359271,darunavir
588,860225,megestrol
589,197557,dapsone
590,198012,naproxen
591,891881,morphine
592,197312,acyclovir
593,966922,polyethylene glycol 3350
594,197311,acyclovir
595,992447,promethazine
596,824338,darunavir
597,1053753,nystatin
598,582926,podofilox
599,866144,cyproheptadine
600,900575,ritonavir
601,744842,raltegravir
602,891888,morphine
603,794610,darunavir
604,606726,esomeprazole
605,311725,mirtazapine
606,204844,azithromycin
607,670026,darunavir
608,850455,darunavir
609,317150,ritonavir
610,834102,penicillin V
611,312055,nystatin
612,313812,acyclovir
613,476556,tenofovir disoproxil
614,992438,promethazine
615,310352,fluconazole
616,892582,morphine
617,1658259,magnesium sulfate
618,310432,gabapentin
619,892672,morphine
620,483450,pregabalin
621,310353,fluconazole
622,607038,pregabalin
623,483438,pregabalin
624,863854,morphine
625,607018,pregabalin
626,863855,morphine
627,197699,fluconazole
628,402505,carbamazepine
629,863856,morphine
630,863857,morphine
631,308979,carbamazepine
632,141868,capsaicin
633,1495293,naloxone
634,1725059,naloxone
635,483440,pregabalin
636,607020,pregabalin
637,238154,acetaminophen
638,483446,pregabalin
639,607022,pregabalin
640,1725064,naloxone
641,197313,acyclovir
642,483448,pregabalin
643,483444,pregabalin
644,312940,sertraline
645,3320,diatrizoate
646,198243,temazepam
647,311666,metoclopramide
648,607028,pregabalin
649,141859,acyclovir
650,825321,acyclovir
651,317136,nortriptyline
652,313564,valacyclovir
653,198045,nortriptyline
654,200133,carbamazepine
655,312466,podofilox
656,197397,benzonatate
657,836358,ipratropium
658,745752,albuterol
659,860114,ketorolac
660,66955,vancomycin
661,1807508,vancomycin
662,9863,sodium chloride
663,197518,clindamycin
664,313979,fludrocortisone
665,308988,carbidopa
666,308192,amoxicillin
667,1010739,lidocaine
668,1367410,ergocalciferol
669,828348,cyclobenzaprine
670,804146,cholecalciferol
671,596934,duloxetine
672,596930,duloxetine
673,636522,guaifenesin
674,1037045,dabigatran etexilate
675,855302,warfarin
676,11251,vitamin B complex
677,245500,cholecalciferol
678,855288,warfarin
679,310965,ibuprofen
680,1484958,protein C
681,1670192,vitamin K1
682,198102,vitamin K1
683,106351,silver sulfadiazine
684,1867544,potassium chloride
685,309054,cefdinir
686,485032,tiotropium
687,313896,vitamin B12
688,24909,iron sucrose
689,259966,methylprednisolone
690,1665515,levofloxacin
691,896209,salmeterol
692,312773,ranitidine
693,198144,prednisone
694,310537,glyburide
695,313217,terazosin
696,313989,fluoxetine
697,854894,zolpidem
698,200311,fenofibrate
699,866412,metoprolol
700,966248,levothyroxine
701,197816,indapamide
702,402698,felodipine
703,261962,ramipril
704,993518,bupropion
705,204520,potassium chloride
706,854876,zolpidem
707,966224,levothyroxine
708,855338,warfarin
709,749196,clopidogrel
710,199224,anastrozole
711,7454,nitrofurantoin
712,830719,docosahexaenoate
713,979464,hydrochlorothiazide
714,1918243,Ginkgo biloba root extract
715,198896,ascorbic acid
716,4850,glucose
717,283100,"sodium phosphate, dibasic"
718,847627,glucose
719,197943,methocarbamol
720,849389,amantadine
721,197528,clonazepam
722,152695,meloxicam
723,562411,bacitracin
724,486515,sodium chloride
725,1049214,oxycodone
726,806392,potassium chloride
727,142440,lidocaine
728,313415,tobramycin
729,314238,tropicamide
730,1234579,phenylephrine
731,1000647,pilocarpine
732,1191013,proparacaine
733,1298066,cyclopentolate
734,310132,epinephrine
735,1000897,pilocarpine
736,309683,dexamethasone
737,1724784,bupivacaine
738,310891,hydrocortisone
739,8640,prednisone
740,198148,prednisone
741,1743704,methylprednisolone
742,855926,diclofenac
743,313413,tizanidine
744,727347,epinephrine
745,1654040,adenosine
746,705610,ranitidine
747,1805420,memantine
748,312847,ropinirole
749,1359105,misoprostol
750,1085754,triamcinolone
751,849395,amantadine
752,966914,polyethylene glycol 3350
753,1012396,bupivacaine
754,8782,propofol
755,1442128,diclofenac
756,577033,sildenafil
757,979092,hydroxychloroquine
758,855671,phenytoin
759,71227,phenytoin
760,244967,polymyxin B
761,476809,mirtazapine
762,854905,bisoprolol
763,861635,timolol
764,314111,mirtazapine
765,310015,dorzolamide
766,198444,acetaminophen
767,898690,benazepril
768,1112231,naproxen
769,861200,brimonidine
770,1734203,ropivacaine
771,480,alfentanil
772,10691,tranexamic acid
773,309336,clindamycin
774,1737578,clindamycin
775,828529,"albumin human, USP"
776,849574,naproxen
777,903857,pyridostigmine
778,311277,lansoprazole
779,895753,polyethylene glycol 400
780,854228,enoxaparin
781,142004,polyvinyl alcohol
782,311892,nabumetone
783,311668,metoclopramide
784,896004,fluticasone
785,1190110,fluoxetine
786,1010844,lidocaine
787,856903,acetaminophen
788,403853,hydrochlorothiazide
789,351250,escitalopram
790,214199,albuterol
791,1657073,bevacizumab
792,309314,citalopram
793,977986,loperamide
794,995253,hydroxyzine
795,198191,ranitidine
796,351133,fenofibrate
797,197321,alprazolam
798,312997,sodium chloride
799,310133,racepinephrine
800,860113,ketorolac
801,996520,guaifenesin
802,313532,purified protein derivative of tuberculin
803,746763,albuterol
804,310288,fenofibrate
805,790288,desvenlafaxine
806,1552002,tiotropium
807,901640,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine
808,238175,methocarbamol
809,897745,hydromorphone
810,198013,naproxen
811,313161,sumatriptan
812,1094107,phenazopyridine
813,6574,magnesium
814,8164,phenylephrine
815,308191,amoxicillin
816,308048,alprazolam
817,856448,propranolol
818,896758,labetalol
819,107602,epinephrine
820,1012404,bupivacaine
821,3829,enalaprilat
822,1190953,testosterone
823,540930,NF
824,61148,somatropin
825,828320,cyclobenzaprine
826,830845,diltiazem
827,198806,polysaccharide iron complex
828,966253,levothyroxine
829,197320,allopurinol
830,1010688,lidocaine
831,311486,meloxicam
832,197541,colchicine
833,853260,camphor
834,1648110,bacitracin
835,707329,sodium chloride
836,830795,diltiazem
837,198467,aspirin
838,979480,losartan
839,249453,somatropin
840,966282,levothyroxine
841,314087,magnesium hydroxide
842,729234,somatropin
843,1597129,testosterone
844,477562,fenofibrate
845,308867,calcitriol
846,359296,calcium acetate
847,197435,calcium gluconate
848,686429,mesalamine
849,308934,calcium polycarbophil
850,577315,paricalcitol
851,477367,solifenacin
852,616541,omeprazole
853,205323,celecoxib
854,1426874,ioflupane I-123
855,242429,potassium iodide
856,701984,mineral oil
857,198316,hydrochlorothiazide
858,199123,bicalutamide
859,1010751,lidocaine
860,857107,acetaminophen
861,1190122,hyaluronate
862,543460,lactate
863,835715,hylan G-F 20
864,898687,benazepril
865,1049502,oxycodone
866,1116927,dexamethasone
867,1734483,ropivacaine
868,855503,lipase
869,2669,cod liver oil
870,1244611,tafluprost
871,997230,donepezil
872,313215,terazosin
873,314214,rivastigmine
874,308805,brinzolamide
875,312835,rivastigmine
876,896184,salmeterol
877,860695,galantamine
878,1114883,turmeric extract
879,311290,levetiracetam
880,245557,vitamin B12
881,859033,pramipexole
882,859040,pramipexole
883,314229,sildenafil
884,859044,pramipexole
885,1308569,rivastigmine
886,861819,sitagliptin
887,993687,bupropion
888,477372,solifenacin
889,855213,vitamin B12
890,993503,bupropion
891,861821,sitagliptin
892,857564,trospium
893,199246,glimepiride
894,859088,albuterol
895,199247,glimepiride
896,861771,sitagliptin
897,847241,insulin detemir
898,1670016,insulin degludec
899,996603,memantine
900,996594,memantine
901,855312,warfarin
902,198946,vitamin B6
903,485287,menthol
904,310362,fluocinonide
905,995258,hydroxyzine
906,855324,warfarin
907,979468,hydrochlorothiazide
908,1738495,paroxetine
909,855189,tolterodine
910,1372265,chlorpheniramine
911,214392,chlorpheniramine
912,1014678,cetirizine
913,197797,hydroxyurea
914,702249,ferrous sulfate
915,24941,ferrous fumarate
916,1111343,olopatadine
917,1738511,paroxetine
918,1046781,phenylephrine
919,617296,amoxicillin
920,214488,dextromethorphan
921,1928344,influenza A virus (H3N2) antigen
922,863619,oxybutynin
923,2839,copper gluconate
924,313773,zinc sulfate
925,11359,lutein
926,9641,selenium
927,313654,vitamin A
928,435020,cholecalciferol
929,198371,torsemide
930,859747,rosuvastatin
931,562524,acetazolamide
932,686924,carvedilol
933,854177,dexamethasone
934,722295,rotigotine
935,308989,carbidopa
936,1331,barium sulfate
937,311429,magnesium oxide
938,847230,insulin glargine
939,311286,levalbuterol
940,1659592,ampicillin
941,2890,cosyntropin
942,689842,citric acid
943,854238,enoxaparin
944,308907,calcium carbonate
945,1428987,influenza A-California-7-2009-(H1N1)v-like virus vaccine
946,4910,glycerin
947,1291082,hydrocortisone
948,1020477,diphenhydramine
949,866511,metoprolol
950,904396,alendronate
951,897122,liraglutide
952,197380,atenolol
953,310434,gabapentin
954,628953,potassium chloride
955,898719,benazepril
956,203192,naloxone
957,1190552,atropine
958,1190572,atropine
959,866910,colesevelam
960,1236013,ubiquinol
961,245135,fentanyl
962,894780,morphine
963,198189,ramipril
964,198188,ramipril
965,199370,ciprofloxacin
966,845488,ramipril
967,892625,morphine
968,1362132,nepafenac
969,197304,acetazolamide
970,203088,ketoconazole
971,10600,timolol
972,804544,difluprednate
973,312440,pioglitazone
974,1923428,timolol
975,1654169,adenosine
976,238084,ketamine
977,1663224,amiodarone
978,311353,lisinopril
979,897659,verapamil
980,1658262,magnesium sulfate
981,833528,amiodarone
982,310004,dofetilide
983,310003,dofetilide
984,317573,pioglitazone
985,852920,quinidine
986,9069,quinidine
987,1362706,mexiletine
988,1663248,amiodarone
989,283753,perflutren
990,1872384,"sodium phosphate, dibasic"
991,831103,diltiazem
992,854856,dronedarone
993,52356,magnesium citrate
994,830837,diltiazem
995,854834,lisdexamfetamine
996,854830,lisdexamfetamine
997,705728,cholecalciferol
998,283485,mirtazapine
999,311726,mirtazapine
1000,896018,fluticasone
1001,1101775,potassium phosphate
1002,992150,methenamine
1003,11248,vitamin B12
1004,198897,ascorbic acid
1005,810077,fesoterodine
1006,801663,cholecalciferol
1007,432401,cinacalcet
1008,313096,spironolactone
1009,197987,minoxidil
1010,1300801,mirabegron
1011,485423,darifenacin
1012,317769,theophylline
1013,199655,zafirlukast
1014,1000135,medroxyprogesterone
1015,197660,"estrogens, conjugated (USP)"
1016,1370754,hydrocortisone
1017,197622,dipyridamole
1018,1654862,insulin isophane
1019,829734,magnesium sulfate
1020,665033,sitagliptin
1021,847252,insulin lispro
1022,847239,insulin detemir
1023,198707,hydrocortisone
1024,309509,collagenase
1025,857391,acetaminophen
1026,27729,iodixanol
1027,308194,amoxicillin
1028,106258,hydrocortisone
1029,1652639,insulin lispro
1030,856519,propranolol
1031,1423270,technetium Tc-99m sulfur colloid
1032,198150,primidone
1033,141963,azithromycin
1034,198014,naproxen
1035,309076,cefpodoxime
1036,313800,ampicillin
1037,486166,hyaluronidase
1038,686497,glycerin
1039,197527,clonazepam
1040,248642,fluoxetine
1041,688240,"estrogens, conjugated (USP)"
1042,314000,glyburide
1043,1870650,gentamicin
1044,1868494,nitroglycerin
1045,751612,nebivolol
1046,581802,petrolatum
1047,242706,epoetin alfa
1048,349199,valsartan
1049,349483,valsartan
1050,205259,"tetanus toxoid vaccine, inactivated"
1051,1738483,paroxetine
1052,198857,simethicone
1053,892589,morphine
1054,1928358,influenza B virus antigen
1055,792582,sodium bicarbonate
1056,1049604,oxycodone
1057,1358617,methylprednisolone
1058,1601086,olopatadine
1059,1547771,tetracaine
1060,312570,povidone-iodine
1061,310149,erythromycin
1062,1010759,lidocaine
1063,1012384,bupivacaine
1064,966220,levothyroxine
1065,312617,prednisone
1066,313414,tobramycin
1067,312899,salsalate
1068,997501,fexofenadine
1069,615107,glucose
1070,313578,vasopressin (USP)
1071,701882,hypromellose
1072,1111681,NF
1073,1648759,nitrofurantoin
1074,1099625,valproate
1075,308512,bacitracin
1076,242446,ofloxacin
1077,1665060,cefazolin
1078,200224,montelukast
1079,205324,modafinil
1080,725023,rivastigmine
1081,197443,levodopa
1082,9346,riboflavin
1083,197445,carbidopa
1084,197590,diazepam
1085,313016,sodium chloride
1086,237656,glucose
1087,314099,methylprednisolone
1088,1809736,immunoglobulin G
1089,905269,trihexyphenidyl
1090,312539,potassium iodide
1091,1046982,hyoscyamine
1092,889614,clidinium
1093,855812,prasugrel
1094,1014571,cetirizine
1095,312136,oxcarbazepine
1096,312137,oxcarbazepine
1097,1357009,estradiol
1098,260243,progesterone
1099,240209,betamethasone
1100,1797844,ipratropium
1101,792847,hylan G-F 20
1102,237779,vitamin B12
1103,850305,besifloxacin
1104,200034,olanzapine
1105,312078,olanzapine
1106,349195,clonazepam
1107,198439,acetaminophen
1108,199184,vitamin B12
1109,904932,ibandronate
1110,242462,cilostazol
1111,403888,potassium chloride
1112,242461,cilostazol
1113,1659131,piperacillin
1114,1116361,NF
1115,199163,melatonin
1116,847915,exenatide
1117,859751,rosuvastatin
1118,197732,furosemide
1119,1373471,canagliflozin
1120,855296,warfarin
1121,197848,isradipine
1122,485465,eszopiclone
1123,5640,ibuprofen
1124,883726,"sennosides, USP"
1125,863636,oxybutynin
1126,283406,mirtazapine
1127,2473,chondroitin sulfates
1128,240812,ketoconazole
1129,349200,valsartan
1130,1246319,formoterol
1131,197466,clorazepate
1132,1243415,calcium carbonate
1133,596926,duloxetine
1134,311960,niacin
1135,197582,dexamethasone
1136,866419,metoprolol
1137,810090,entacapone
1138,799054,ropinirole
1139,863664,oxybutynin
1140,197465,clorazepate
1141,1600775,carbidopa
1142,125933,cranberry preparation
1143,309710,dexmedetomidine
1144,858607,nicardipine
1145,757665,thrombin
1146,848582,ropinirole
1147,403850,levodopa
1148,1791691,pimavanserin
1149,317094,entacapone
1150,860107,ketorolac
1151,860215,megestrol
1152,849385,amantadine
1153,861360,fondaparinux
1154,857118,acetaminophen
1155,313195,tamoxifen
1156,1801289,bupropion
1157,1012377,bupivacaine
1158,1190220,albuterol
1159,861448,clobetasol
1160,702050,carbamide peroxide
1161,993460,NF
1162,995607,ethambutol
1163,198202,rifampin
1164,104895,ondansetron
1165,317216,cobalamins
1166,876690,ondansetron
1167,1011705,lidocaine
1168,153735,tizanidine
1169,864706,methadone
1170,1049611,oxycodone
1171,327361,adalimumab
1172,103456,fluocinonide
1173,238920,betamethasone
1174,86009,insulin lispro
