CPT_Code,CPT_Label
45400,"Laparoscopy, surgical; proctopexy (for prolapse)"
31513,"Laryngoscopy, indirect; with vocal cord injection"
25449,"Revision of arthroplasty, including removal of implant, wrist joint"
46505,Chemodenervation of internal anal sphincter
25025,"Decompression fasciotomy, forearm and/or wrist, flexor AND extensor compartment; with debridement of nonviable muscle and/or nerve"
67010,"Removal of vitreous, anterior approach (open sky technique or limbal incision); subtotal removal with mechanical vitrectomy"
93040,"Rhythm ECG, 1-3 leads; with interpretation and report"
10061,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
45500,Proctoplasty; for stenosis
93750,"Interrogation of ventricular assist device (VAD), in person, with physician or other qualified health care professional analysis of device parameters (eg, drivelines, alarms, power surges), review of device function (eg, flow and volume status, septum status, recovery), with programming, if performed, and report"
1021437,Modifiers Approved for Ambulatory Surgery Center (ASC) Hospital Outpatient Use
28080,"Excision, interdigital (Morton) neuroma, single, each"
88367,"Morphometric analysis, in situ hybridization (quantitative or semi-quantitative), using computer-assisted technology, per specimen; initial single probe stain procedure"
0526T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; electrode only"
63185,Laminectomy with rhizotomy; 1 or 2 segments
51992,"Laparoscopy, surgical; sling operation for stress incontinence (eg, fascia or synthetic)"
0408T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; pulse generator with transvenous electrodes"
99506,Home visit for intramuscular injections
26205,Excision or curettage of bone cyst or benign tumor of metacarpal; with autograft (includes obtaining graft)
36819,"Arteriovenous anastomosis, open; by upper arm basilic vein transposition"
78804,"Radiopharmaceutical localization of tumor or distribution of radiopharmaceutical agent(s); whole body, requiring 2 or more days imaging"
3060F,Positive microalbuminuria test result documented and reviewed (DM)
F1,"Left hand, second digit"
3022F,"Left ventricular ejection fraction (LVEF) greater than or equal to 40% or documentation as normal or mildly depressed left ventricular systolic function (CAD, HF)"
88036,"Necropsy (autopsy), limited, gross and/or microscopic; regional"
52342,"Cystourethroscopy; with treatment of ureteropelvic junction stricture (eg, balloon dilation, laser, electrocautery, and incision)"
10160,"Puncture aspiration of abscess, hematoma, bulla, or cyst"
1004171,Claviculectomy
1011327,Catecholamines
1022248,Anabolic steroids
1009824,"Injection, anterior chamber of eye (separate procedure)"
43888,"Gastric restrictive procedure, open; removal and replacement of subcutaneous port component only"
33274,"Transcatheter insertion or replacement of permanent leadless pacemaker, right ventricular, including imaging guidance (eg, fluoroscopy, venous ultrasound, ventriculography, femoral venography) and device evaluation (eg, interrogation or programming), when performed"
36522,"Photopheresis, extracorporeal"
1008231,Incision Procedures on the Bladder
1006844,Surgical Procedures on the Spleen
1031047,"Endovenous ablation therapy of incompetent vein, extremity, by transcatheter delivery of a chemical adhesive (eg, cyanoacrylate) remote from the access site, inclusive of all imaging guidance and monitoring, percutaneous"
12021,Treatment of superficial wound dehiscence; with packing
92556,Speech audiometry threshold; with speech recognition
92132,"Scanning computerized ophthalmic diagnostic imaging, anterior segment, with interpretation and report, unilateral or bilateral"
11971,Removal of tissue expander(s) without insertion of prosthesis
70250,"Radiologic examination, skull; less than 4 views"
99406,"Smoking and tobacco use cessation counseling visit; intermediate, greater than 3 minutes up to 10 minutes"
54901,"Epididymovasostomy, anastomosis of epididymis to vas deferens; bilateral"
62325,"Injection(s), including indwelling catheter placement, continuous infusion or intermittent bolus, of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, interlaminar epidural or subarachnoid, cervical or thoracic; with imaging guidance (ie, fluoroscopy or CT)"
1007587,Laparoscopic Procedures on the Appendix
27093,Injection procedure for hip arthrography; without anesthesia
81007,"Urinalysis; bacteriuria screen, except by culture or dipstick"
82672,Estrogens; total
44970,"Laparoscopy, surgical, appendectomy"
23490,"Prophylactic treatment (nailing, pinning, plating or wiring) with or without methylmethacrylate; clavicle"
40490,Biopsy of lip
1011546,"Lipoprotein, blood"
1010069,Repair of symblepharon
63600,"Creation of lesion of spinal cord by stereotactic method, percutaneous, any modality (including stimulation and/or recording)"
46600,"Anoscopy; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"
88362,Nerve teasing preparations
63180,"Laminectomy and section of dentate ligaments, with or without dural graft, cervical; 1 or 2 segments"
1005080,"Osteotomy, proximal tibia, including fibular excision or osteotomy (includes correction of genu varus [bowleg] or genu valgus [knock-knee])"
3452F,Dyspnea not screened (Pall Cr)
81285,"FXN (frataxin) (eg, Friedreich ataxia) gene analysis; characterization of alleles (eg, expanded size)"
80326,Amphetamines; 5 or more
67028,Intravitreal injection of a pharmacologic agent (separate procedure)
24670,"Closed treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]); without manipulation"
81512,"Fetal congenital abnormalities, biochemical assays of five analytes (AFP, uE3, total hCG, hyperglycosylated hCG, DIA) utilizing maternal serum, algorithm reported as a risk score"
1010131,Radical excision external auditory canal lesion
T057,Occupational Activity
57550,"Excision of cervical stump, vaginal approach"
35535,"Bypass graft, with vein; hepatorenal"
15792,"Chemical peel, nonfacial; epidermal"
1007089,Incision Procedures on the Palate and Uvula
0535F,"Dyspnea management plan of care, documented (Pall Cr)"
66852,"Removal of lens material; pars plana approach, with or without vitrectomy"
51860,"Cystorrhaphy, suture of bladder wound, injury or rupture; simple"
1015086,Radiologic Guidance
0220T,"Placement of a posterior intrafacet implant(s), unilateral or bilateral, including imaging and placement of bone graft(s) or synthetic device(s), single level; thoracic"
26125,"Fasciectomy, partial palmar with release of single digit including proximal interphalangeal joint, with or without Z-plasty, other local tissue rearrangement, or skin grafting (includes obtaining graft); each additional digit (List separately in addition to code for primary procedure)"
97161,"Physical therapy evaluation: low complexity, requiring these components: A history with no personal factors and/or comorbidities that impact the plan of care; An examination of body system(s) using standardized tests and measures addressing 1-2 elements from any of the following: body structures and functions, activity limitations, and/or participation restrictions; A clinical presentation with stable and/or uncomplicated characteristics; and Clinical decision making of low complexity using standardized patient assessment instrument and/or measurable assessment of functional outcome. Typically, 20 minutes are spent face-to-face with the patient and/or family."
64605,"Destruction by neurolytic agent, trigeminal nerve; second and third division branches at foramen ovale"
68110,"Excision of lesion, conjunctiva; up to 1 cm"
87880,"Infectious agent antigen detection by immunoassay with direct optical observation; Streptococcus, group A"
86215,"Deoxyribonuclease, antibody"
70542,"Magnetic resonance (eg, proton) imaging, orbit, face, and/or neck; with contrast material(s)"
47760,"Anastomosis, of extrahepatic biliary ducts and gastrointestinal tract"
40810,"Excision of lesion of mucosa and submucosa, vestibule of mouth; without repair"
43352,"Esophagostomy, fistulization of esophagus, external; cervical approach"
26352,"Repair or advancement, flexor tendon, not in zone 2 digital flexor tendon sheath (eg, no man's land); secondary with free graft (includes obtaining graft), each tendon"
1007545,Repair Procedures on the Intestines (Except Rectum)
1019324,"Programming device evaluation (in person) with iterative adjustment of the implantable device to test the function of the device and select optimal permanent programmed values with analysis, review and report by a physician or other qualified health care professional"
30545,Repair choanal atresia; transpalatine
88283,"Chromosome analysis; additional specialized banding technique (eg, NOR, C-banding)"
93656,"Comprehensive electrophysiologic evaluation including transseptal catheterizations, insertion and repositioning of multiple electrode catheters with induction or attempted induction of an arrhythmia including left or right atrial pacing/recording when necessary, right ventricular pacing/recording when necessary, and His bundle recording when necessary with intracardiac catheter ablation of atrial fibrillation by pulmonary vein isolation"
25444,Arthroplasty with prosthetic replacement; lunate
22902,"Excision, tumor, soft tissue of abdominal wall, subcutaneous; less than 3 cm"
51050,"Cystolithotomy, cystotomy with removal of calculus, without vesical neck resection"
25020,"Decompression fasciotomy, forearm and/or wrist, flexor OR extensor compartment; without debridement of nonviable muscle and/or nerve"
85307,Activated Protein C (APC) resistance assay
3170F,Flow cytometry studies performed at time of diagnosis or prior to initiating treatment (HEM)
96904,"Whole body integumentary photography, for monitoring of high risk patients with dysplastic nevus syndrome or a history of dysplastic nevi, or patients with a personal or familial history of melanoma"
93463,"Pharmacologic agent administration (eg, inhaled nitric oxide, intravenous infusion of nitroprusside, dobutamine, milrinone, or other agent) including assessing hemodynamic measurements before, during, after and repeat pharmacologic agent administration, when performed (List separately in addition to code for primary procedure)"
14301,"Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm"
65865,"Severing adhesions of anterior segment of eye, incisional technique (with or without injection of air or liquid) (separate procedure); goniosynechiae"
01170,Anesthesia for open procedures involving symphysis pubis or sacroiliac joint
86921,Compatibility test each unit; incubation technique
99219,"Initial observation care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the problem(s) requiring admission to outpatient hospital ""observation status"" are of moderate severity. Typically, 50 minutes are spent at the bedside and on the patient's hospital floor or unit."
1018176,Infectious Agent Antigen Detection
1011119,Positron emission tomography (PET) with concurrently acquired computed tomography (CT) for attenuation correction and anatomical localization imaging
1004494,Tenodesis at wrist
77412,"Radiation treatment delivery, >=1 MeV; complex"
T047,Disease or Syndrome
27305,"Fasciotomy, iliotibial (tenotomy), open"
1003329,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet)"
61564,"Excision, intra and extracranial, benign tumor of cranial bone (eg, fibrous dysplasia); with optic nerve decompression"
1009048,"Surgical Procedures on the Parathyroid, Thymus, Adrenal Glands, Pancreas, and Carotid Body"
1003183,Paring or Cutting Procedures on the Skin
34845,"Endovascular repair of visceral aorta and infrarenal abdominal aorta (eg, aneurysm, pseudoaneurysm, dissection, penetrating ulcer, intramural hematoma, or traumatic disruption) with a fenestrated visceral aortic endograft and concomitant unibody or modular infrarenal aortic endograft and all associated radiological supervision and interpretation, including target zone angioplasty, when performed; including one visceral artery endoprosthesis (superior mesenteric, celiac or renal artery)"
1004562,Closed treatment of radial and ulnar shaft fractures
76830,"Ultrasound, transvaginal"
63198,"Laminectomy with cordotomy with section of both spinothalamic tracts, 2 stages within 14 days; cervical"
1027650,Initial Nursing Facility Care (Add-on Table)
59830,"Treatment of septic abortion, completed surgically"
21436,"Open treatment of craniofacial separation (LeFort III type); complicated, multiple surgical approaches, internal fixation, with bone grafting (includes obtaining graft)"
1012028,Hepatitis B core antibody (HBcAb)
45320,"Proctosigmoidoscopy, rigid; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique (eg, laser)"
62320,"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; without imaging guidance"
87799,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism"
28193,"Removal of foreign body, foot; complicated"
53442,"Removal or revision of sling for male urinary incontinence (eg, fascia or synthetic)"
1022206,"Results, Testing, Interpretation, and Report"
66720,Ciliary body destruction; cryotherapy
1008889,Surgical Procedures on the Oviduct/Ovary
28286,"Correction, cock-up fifth toe, with plastic skin closure (eg, Ruiz-Mora type procedure)"
16030,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; large (eg, more than 1 extremity, or greater than 10% total body surface area)"
82805,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry"
89331,"Sperm evaluation, for retrograde ejaculation, urine (sperm concentration, motility, and morphology, as indicated)"
21336,"Open treatment of nasal septal fracture, with or without stabilization"
86793,Antibody; Yersinia
81002,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; non-automated, without microscopy"
25265,"Repair, tendon or muscle, flexor, forearm and/or wrist; secondary, with free graft (includes obtaining graft), each tendon or muscle"
81426,"Genome (eg, unexplained constitutional or heritable disorder or syndrome); sequence analysis, each comparator genome (eg, parents, siblings) (List separately in addition to code for primary procedure)"
1014270,Phosphorus inorganic (phosphate)
1015008,Reporting More Than One Procedure/Service (Surgery)
21610,Costotransversectomy (separate procedure)
24152,"Radical resection of tumor, radial head or neck"
50387,"Removal and replacement of externally accessible nephroureteral catheter (eg, external/internal stent) requiring fluoroscopic guidance, including radiological supervision and interpretation"
86308,Heterophile antibodies; screening
47147,"Backbench reconstruction of cadaver or living donor liver graft prior to allotransplantation; arterial anastomosis, each"
1003001,Anesthesia for open procedures involving upper two-thirds of femur
23000,"Removal of subdeltoid calcareous deposits, open"
87070,"Culture, bacterial; any other source except urine, blood or stool, aerobic, with isolation and presumptive identification of isolates"
44126,"Enterectomy, resection of small intestine for congenital atresia, single resection and anastomosis of proximal segment of intestine; without tapering"
41105,Biopsy of tongue; posterior one-third
74263,"Computed tomographic (CT) colonography, screening, including image postprocessing"
TA,"Left foot, great toe"
1008779,Closure of vesicovaginal fistula
27400,"Transfer, tendon or muscle, hamstrings to femur (eg, Egger's type procedure)"
87267,"Infectious agent antigen detection by immunofluorescent technique; Enterovirus, direct fluorescent antibody (DFA)"
1006782,Transcatheter Procedures on Arteries and Veins
T167,Substance
89329,Sperm evaluation; hamster penetration test
85302,"Clotting inhibitors or anticoagulants; protein C, antigen"
1020528,Phospholipid neutralization
90630,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, for intradermal use"
82705,"Fat or lipids, feces; qualitative"
11976,"Removal, implantable contraceptive capsules"
0330T,"Tear film imaging, unilateral or bilateral, with interpretation and report"
81525,"Oncology (colon), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence score"
33985,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of central cannula(e) by sternotomy or thoracotomy, birth through 5 years of age"
30540,Repair choanal atresia; intranasal
57456,Colposcopy of the cervix including upper/adjacent vagina; with endocervical curettage
1035197,"Psychological or neuropsychological test administration and scoring by physician or other qualified health care professional, two or more tests, any method"
70330,"Radiologic examination, temporomandibular joint, open and closed mouth; bilateral"
92071,Fitting of contact lens for treatment of ocular surface disease
15274,"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
28405,Closed treatment of calcaneal fracture; with manipulation
76948,"Ultrasonic guidance for aspiration of ova, imaging supervision and interpretation"
2035F,Tympanic membrane mobility assessed with pneumatic otoscopy or tympanometry (OME)
1011937,Immunodiffusion
1007797,"Biopsy of liver, needle"
82154,Androstanediol glucuronide
1027656,Neonatal and Pediatric Critical/Intensive Care (Add-on Table)
78709,"Kidney imaging morphology; with vascular flow and function, multiple studies, with and without pharmacological intervention (eg, angiotensin converting enzyme inhibitor and/or diuretic)"
48154,"Pancreatectomy, proximal subtotal with near-total duodenectomy, choledochoenterostomy and duodenojejunostomy (pylorus-sparing, Whipple-type procedure); without pancreatojejunostomy"
99214,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed history; A detailed examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 25 minutes are spent face-to-face with the patient and/or family."
29882,"Arthroscopy, knee, surgical; with meniscus repair (medial OR lateral)"
88161,"Cytopathology, smears, any other source; preparation, screening and interpretation"
51080,Drainage of perivesical or prevesical space abscess
1009130,Craniectomy
1035170,"Replacement of gastrostomy tube, percutaneous, includes removal, when performed, without imaging or endoscopic guidance"
26861,"Arthrodesis, interphalangeal joint, with or without internal fixation; each additional interphalangeal joint (List separately in addition to code for primary procedure)"
82668,Erythropoietin
40840,Vestibuloplasty; anterior
38760,"Inguinofemoral lymphadenectomy, superficial, including Cloquet's node (separate procedure)"
87253,"Virus isolation; tissue culture, additional studies or definitive identification (eg, hemabsorption, neutralization, immunofluorescence stain), each isolate"
93459,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography"
24566,"Percutaneous skeletal fixation of humeral epicondylar fracture, medial or lateral, with manipulation"
1013809,Case Management Services
1012795,New Patient General Ophthalmological Services and Procedures
1004680,"Repair or advancement of profundus tendon, with intact superficialis tendon"
28495,"Closed treatment of fracture great toe, phalanx or phalanges; with manipulation"
1009068,Surgical Procedures on the Nervous System
1008642,Incision Procedures on the Seminal Vesicles
3495F,CD4+ cell count 200 - 499 cells/mm3 (HIV)
88358,"Morphometric analysis; tumor (eg, DNA ploidy)"
85337,Thrombomodulin
1008601,Excision Procedures on the Tunica Vaginalis
87904,"Infectious agent phenotype analysis by nucleic acid (DNA or RNA) with drug resistance tissue culture analysis, HIV 1; each additional drug tested (List separately in addition to code for primary procedure)"
86320,Immunoelectrophoresis; serum
49424,Contrast injection for assessment of abscess or cyst via previously placed drainage catheter or tube (separate procedure)
24666,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed; with radial head prosthetic replacement"
64790,Excision of neurofibroma or neurolemmoma; major peripheral nerve
1029679,Athletic Training Evaluations
1013381,Special EEG Testing Procedures
26230,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); metacarpal"
1014119,"Arthroplasty, femoral condyles or tibial plateau(s), knee"
53420,"Urethroplasty, 2-stage reconstruction or repair of prostatic or membranous urethra; first stage"
27814,"Open treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and posterior malleoli, or medial and posterior malleoli), includes internal fixation, when performed"
1011015,"Bone density (bone mineral content) study, 1 or more sites"
35305,"Thromboendarterectomy, including patch graft, if performed; tibial or peroneal artery, initial vessel"
15788,"Chemical peel, facial; epidermal"
50365,"Renal allotransplantation, implantation of graft; with recipient nephrectomy"
33365,"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; transaortic approach (eg, median sternotomy, mediastinotomy)"
E1,"Upper left, eyelid"
97157,"Multiple-family group adaptive behavior treatment guidance, administered by physician or other qualified health care professional (without the patient present), face-to-face with multiple sets of guardians/caregivers, each 15 minutes"
28264,"Capsulotomy, midtarsal (eg, Heyman type procedure)"
84425,Thiamine (Vitamin B-1)
1012070,Tissue Typing Immunological Procedures
11755,"Biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure)"
38380,Suture and/or ligation of thoracic duct; cervical approach
93228,"External mobile cardiovascular telemetry with electrocardiographic recording, concurrent computerized real time data analysis and greater than 24 hours of accessible ECG data storage (retrievable with query) with ECG triggered and patient selected events transmitted to a remote attended surveillance center for up to 30 days; review and interpretation with report by a physician or other qualified health care professional"
84153,Prostate specific antigen (PSA); total
30117,"Excision or destruction (eg, laser), intranasal lesion; internal approach"
15260,"Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; 20 sq cm or less"
35226,"Repair blood vessel, direct; lower extremity"
33870,"Transverse arch graft, with cardiopulmonary bypass"
1014974,New and Established Patient
78799,"Unlisted genitourinary procedure, diagnostic nuclear medicine"
67930,"Suture of recent wound, eyelid, involving lid margin, tarsus, and/or palpebral conjunctiva direct closure; partial thickness"
32491,"Removal of lung, other than pneumonectomy; with resection-plication of emphysematous lung(s) (bullous or non-bullous) for lung volume reduction, sternal split or transthoracic approach, includes any pleural procedure, when performed"
92354,Fitting of spectacle mounted low vision aid; single element system
40806,Incision of labial frenum (frenotomy)
81404,"Molecular pathology procedure, Level 5"
22222,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; thoracic"
1002893,Anesthesia for procedures in lumbar region
58,Staged or Related Procedure or Service by the Same Physician or Other Qualified Health Care Professional During the Postoperative Period
1006855,General Surgical Procedures on the Hemic and Lymphatic Systems
61735,"Creation of lesion by stereotactic method, including burr hole(s) and localizing and recording techniques, single or multiple stages; subcortical structure(s) other than globus pallidus or thalamus"
74241,"Radiologic examination, gastrointestinal tract, upper; with or without delayed images, with KUB"
4058F,Pediatric gastroenteritis education provided to caregiver (PAG)
55700,"Biopsy, prostate; needle or punch, single or multiple, any approach"
97755,"Assistive technology assessment (eg, to restore, augment or compensate for existing function, optimize functional tasks and/or maximize environmental accessibility), direct one-on-one contact, with written report, each 15 minutes"
38573,"Laparoscopy, surgical; with bilateral total pelvic lymphadenectomy and peri-aortic lymph node sampling, peritoneal washings, peritoneal biopsy(ies), omentectomy, and diaphragmatic washings, including diaphragmatic and other serosal biopsy(ies), when performed"
31623,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with brushing or protected brushings"
1010213,"Replacement (including removal of existing device), osseointegrated implant, temporal bone, with percutaneous attachment to external speech processor/cochlear stimulator"
93978,"Duplex scan of aorta, inferior vena cava, iliac vasculature, or bypass grafts; complete study"
15152,"Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
1003490,Abrasion
81503,"Oncology (ovarian), biochemical assays of five proteins (CA-125, apolipoprotein A1, beta-2 microglobulin, transferrin, and pre-albumin), utilizing serum, algorithm reported as a risk score"
19081,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including stereotactic guidance"
76826,"Echocardiography, fetal, cardiovascular system, real time with image documentation (2D), with or without M-mode recording; follow-up or repeat study"
1018154,Other Procedures on the Biliary Tract
1022259,Digoxin
4048F,"Documentation that administration of prophylactic parenteral antibiotic was initiated within 1 hour (if fluoroquinolone or vancomycin, 2 hours) prior to surgical incision (or start of procedure when no incision is required) as ordered (PERI 2)"
1014192,"Vaginectomy, complete removal of vaginal wall"
0419T,"Destruction of neurofibroma, extensive (cutaneous, dermal extending into subcutaneous); face, head and neck, greater than 50 neurofibromas"
4090F,Patient receiving erythropoietin therapy (HEM)
61156,"Burr hole(s); with aspiration of hematoma or cyst, intracerebral"
1008977,"Cerclage of cervix, during pregnancy"
78070,"Parathyroid planar imaging (including subtraction, when performed)"
33770,Repair of transposition of the great arteries with ventricular septal defect and subpulmonary stenosis; without surgical enlargement of ventricular septal defect
1004686,"Repair, extensor tendon, hand, primary or secondary"
1008648,Surgical Procedures on the Prostate
1005887,"Tracheostomy, emergency procedure"
86612,Antibody; Blastomyces
27430,"Quadricepsplasty (eg, Bennett or Thompson type)"
43248,"Esophagogastroduodenoscopy, flexible, transoral; with insertion of guide wire followed by passage of dilator(s) through esophagus over guide wire"
25535,Closed treatment of ulnar shaft fracture; with manipulation
81276,"KRAS (Kirsten rat sarcoma viral oncogene homolog) (eg, carcinoma) gene analysis; additional variant(s) (eg, codon 61, codon 146)"
89261,"Sperm isolation; complex prep (eg, Percoll gradient, albumin gradient) for insemination or diagnosis with semen analysis"
52649,"Laser enucleation of the prostate with morcellation, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, internal urethrotomy and transurethral resection of prostate are included if performed)"
33788,Reimplantation of an anomalous pulmonary artery
93454,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation"
86711,Antibody; JC (John Cunningham) virus
00904,Anesthesia for; radical perineal procedure
1014082,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed"
33464,"Valvuloplasty, tricuspid valve; with ring insertion"
1010792,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation plus detailed fetal anatomic examination, transabdominal approach"
61330,"Decompression of orbit only, transcranial approach"
54520,"Orchiectomy, simple (including subcapsular), with or without testicular prosthesis, scrotal or inguinal approach"
15783,"Dermabrasion; superficial, any site (eg, tattoo removal)"
96999,Unlisted special dermatological service or procedure
36405,"Venipuncture, younger than age 3 years, necessitating the skill of a physician or other qualified health care professional, not to be used for routine venipuncture; scalp vein"
70360,"Radiologic examination; neck, soft tissue"
27330,"Arthrotomy, knee; with synovial biopsy only"
79999,"Radiopharmaceutical therapy, unlisted procedure"
01392,"Anesthesia for all open procedures on upper ends of tibia, fibula, and/or patella"
LR,Laboratory round trip
1014608,"Laryngoscopy, direct, operative, with foreign body removal"
24586,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius)
1006360,Embolectomy/Thrombectomy Procedures on Arteries and Veins
67412,Orbitotomy without bone flap (frontal or transconjunctival approach); with removal of lesion
1022217,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa)"
T066,Machine Activity
1003496,"Chemical peel, nonfacial"
84138,Pregnanetriol
58110,Endometrial sampling (biopsy) performed in conjunction with colposcopy (List separately in addition to code for primary procedure)
